"ID","NhietDo","DoAm","TocDoGio","HuongGio","LuongMua","ThoiGian","KHTram","MaTram","P","NguyCo"
15573,27.5000000000,76.2000000000,3.3000000000,106.0000000000,0.0000000000,2025-03-14 15:36:00.000,SocSon,"2",0.0000000000,I
15572,27.6000000000,76.7000000000,1.8000000000,156.0000000000,0.0000000000,2025-03-14 15:35:00.000,SocSon,"2",0.0000000000,I
15571,27.6000000000,76.3000000000,2.4000000000,159.0000000000,0.0000000000,2025-03-14 15:34:00.000,SocSon,"2",0.0000000000,I
15570,27.7000000000,75.2000000000,3.3000000000,149.0000000000,0.0000000000,2025-03-14 15:33:00.000,SocSon,"2",0.0000000000,I
15569,27.7000000000,75.7000000000,2.5000000000,138.0000000000,0.0000000000,2025-03-14 15:32:00.000,SocSon,"2",0.0000000000,I
15568,27.7000000000,75.8000000000,1.4000000000,133.0000000000,0.0000000000,2025-03-14 15:31:00.000,SocSon,"2",0.0000000000,I
15567,27.8000000000,75.1000000000,2.6000000000,157.0000000000,0.0000000000,2025-03-14 15:30:00.000,SocSon,"2",0.0000000000,I
15566,27.8000000000,76.1000000000,2.3000000000,109.0000000000,0.0000000000,2025-03-14 15:29:00.000,SocSon,"2",0.0000000000,I
15565,27.7000000000,76.0000000000,1.4000000000,111.0000000000,0.0000000000,2025-03-14 15:28:00.000,SocSon,"2",0.0000000000,I
15564,27.7000000000,75.5000000000,2.0000000000,138.0000000000,0.0000000000,2025-03-14 15:27:00.000,SocSon,"2",0.0000000000,I
15563,27.7000000000,75.4000000000,1.4000000000,157.0000000000,0.0000000000,2025-03-14 15:26:00.000,SocSon,"2",0.0000000000,I
15562,27.8000000000,75.9000000000,2.0000000000,177.0000000000,0.0000000000,2025-03-14 15:25:00.000,SocSon,"2",0.0000000000,I
15561,27.8000000000,75.7000000000,2.7000000000,120.0000000000,0.0000000000,2025-03-14 15:24:00.000,SocSon,"2",0.0000000000,I
15560,27.9000000000,75.1000000000,2.9000000000,156.0000000000,0.0000000000,2025-03-14 15:23:00.000,SocSon,"2",0.0000000000,I
15559,27.8000000000,75.2000000000,2.2000000000,131.0000000000,0.0000000000,2025-03-14 15:22:00.000,SocSon,"2",0.0000000000,I
15558,27.8000000000,76.5000000000,3.8000000000,128.0000000000,0.0000000000,2025-03-14 15:21:00.000,SocSon,"2",0.0000000000,I
15557,27.8000000000,75.8000000000,0.8000000000,121.0000000000,0.0000000000,2025-03-14 15:20:00.000,SocSon,"2",0.0000000000,I
15556,27.8000000000,75.3000000000,4.5000000000,145.0000000000,0.0000000000,2025-03-14 15:19:00.000,SocSon,"2",0.0000000000,I
15555,27.8000000000,75.6000000000,1.2000000000,168.0000000000,0.0000000000,2025-03-14 15:18:00.000,SocSon,"2",0.0000000000,I
15554,27.9000000000,74.6000000000,3.8000000000,42.0000000000,0.0000000000,2025-03-14 15:17:00.000,SocSon,"2",0.0000000000,I
15553,28.0000000000,75.7000000000,3.5000000000,116.0000000000,0.0000000000,2025-03-14 15:16:00.000,SocSon,"2",0.0000000000,I
15552,28.0000000000,76.1000000000,1.6000000000,192.0000000000,0.0000000000,2025-03-14 15:15:00.000,SocSon,"2",0.0000000000,I
15551,27.9000000000,75.9000000000,1.8000000000,189.0000000000,0.0000000000,2025-03-14 15:14:00.000,SocSon,"2",0.0000000000,I
15550,27.9000000000,76.5000000000,1.0000000000,25.0000000000,0.0000000000,2025-03-14 15:13:00.000,SocSon,"2",0.0000000000,I
15549,27.8000000000,75.6000000000,2.8000000000,115.0000000000,0.0000000000,2025-03-14 15:12:00.000,SocSon,"2",0.0000000000,I
15548,27.8000000000,75.0000000000,1.8000000000,153.0000000000,0.0000000000,2025-03-14 15:11:00.000,SocSon,"2",0.0000000000,I
15547,27.8000000000,75.2000000000,2.2000000000,146.0000000000,0.0000000000,2025-03-14 15:10:00.000,SocSon,"2",0.0000000000,I
15546,27.8000000000,74.8000000000,1.6000000000,138.0000000000,0.0000000000,2025-03-14 15:09:00.000,SocSon,"2",0.0000000000,I
15545,27.9000000000,74.4000000000,2.3000000000,82.0000000000,0.0000000000,2025-03-14 15:08:00.000,SocSon,"2",0.0000000000,I
15544,27.9000000000,75.1000000000,2.2000000000,120.0000000000,0.0000000000,2025-03-14 15:07:00.000,SocSon,"2",0.0000000000,I
15543,28.1000000000,75.8000000000,0.7000000000,129.0000000000,0.0000000000,2025-03-14 13:41:00.000,SocSon,"2",0.0000000000,I
15542,28.1000000000,74.4000000000,2.2000000000,72.0000000000,0.0000000000,2025-03-14 13:40:00.000,SocSon,"2",0.0000000000,I
15541,28.3000000000,73.9000000000,6.2000000000,123.0000000000,0.0000000000,2025-03-14 13:39:00.000,SocSon,"2",0.0000000000,I
15540,28.4000000000,74.8000000000,1.2000000000,104.0000000000,0.0000000000,2025-03-14 13:38:00.000,SocSon,"2",0.0000000000,I
15539,28.3000000000,75.1000000000,3.0000000000,113.0000000000,0.0000000000,2025-03-14 13:37:00.000,SocSon,"2",0.0000000000,I
15538,28.3000000000,75.1000000000,1.8000000000,127.0000000000,0.0000000000,2025-03-14 13:36:00.000,SocSon,"2",0.0000000000,I
15537,28.4000000000,74.2000000000,3.1000000000,156.0000000000,0.0000000000,2025-03-14 13:35:00.000,SocSon,"2",0.0000000000,I
15536,28.2000000000,76.3000000000,1.0000000000,150.0000000000,0.0000000000,2025-03-14 13:34:00.000,SocSon,"2",0.0000000000,I
15535,28.1000000000,75.0000000000,1.4000000000,188.0000000000,0.0000000000,2025-03-14 13:33:00.000,SocSon,"2",0.0000000000,I
15534,28.2000000000,74.0000000000,3.4000000000,110.0000000000,0.0000000000,2025-03-14 13:32:00.000,SocSon,"2",0.0000000000,I
15533,28.2000000000,75.1000000000,2.8000000000,132.0000000000,0.0000000000,2025-03-14 13:31:00.000,SocSon,"2",0.0000000000,I
15532,28.2000000000,74.5000000000,3.0000000000,129.0000000000,0.0000000000,2025-03-14 13:30:00.000,SocSon,"2",0.0000000000,I
15531,28.2000000000,74.3000000000,1.3000000000,126.0000000000,0.0000000000,2025-03-14 13:29:00.000,SocSon,"2",0.0000000000,I
15530,28.2000000000,75.7000000000,2.4000000000,121.0000000000,0.0000000000,2025-03-14 13:28:00.000,SocSon,"2",0.0000000000,I
15529,28.0000000000,77.0000000000,0.5000000000,361.0000000000,0.0000000000,2025-03-14 13:27:00.000,SocSon,"2",0.0000000000,I
15528,28.0000000000,76.1000000000,1.6000000000,65.0000000000,0.0000000000,2025-03-14 13:26:00.000,SocSon,"2",0.0000000000,I
15527,28.2000000000,74.7000000000,3.4000000000,145.0000000000,0.0000000000,2025-03-14 13:25:00.000,SocSon,"2",0.0000000000,I
15526,28.3000000000,74.3000000000,4.5000000000,121.0000000000,0.0000000000,2025-03-14 13:24:00.000,SocSon,"2",0.0000000000,I
15525,28.3000000000,76.0000000000,1.4000000000,64.0000000000,0.0000000000,2025-03-14 13:23:00.000,SocSon,"2",0.0000000000,I
15524,28.4000000000,74.1000000000,3.1000000000,138.0000000000,0.0000000000,2025-03-14 13:22:00.000,SocSon,"2",0.0000000000,I
15523,28.5000000000,73.2000000000,3.7000000000,120.0000000000,0.0000000000,2025-03-14 13:21:00.000,SocSon,"2",0.0000000000,I
15522,28.6000000000,73.3000000000,3.4000000000,163.0000000000,0.0000000000,2025-03-14 13:20:00.000,SocSon,"2",0.0000000000,I
15521,28.8000000000,70.8000000000,2.3000000000,144.0000000000,0.0000000000,2025-03-14 13:19:00.000,SocSon,"2",0.0000000000,I
15520,29.1000000000,71.0000000000,3.7000000000,125.0000000000,0.0000000000,2025-03-14 13:18:00.000,SocSon,"2",0.0000000000,I
15519,29.1000000000,72.0000000000,1.7000000000,166.0000000000,0.0000000000,2025-03-14 13:17:00.000,SocSon,"2",0.0000000000,I
15518,28.9000000000,72.7000000000,1.2000000000,111.0000000000,0.0000000000,2025-03-14 13:16:00.000,SocSon,"2",0.0000000000,I
15517,28.8000000000,72.8000000000,1.0000000000,144.0000000000,0.0000000000,2025-03-14 13:15:00.000,SocSon,"2",0.0000000000,I
15516,28.8000000000,73.5000000000,1.2000000000,49.0000000000,0.0000000000,2025-03-14 13:14:00.000,SocSon,"2",0.0000000000,I
15515,28.8000000000,70.8000000000,3.3000000000,86.0000000000,0.0000000000,2025-03-14 13:13:00.000,SocSon,"2",0.0000000000,I
15514,28.7000000000,73.4000000000,1.2000000000,121.0000000000,0.0000000000,2025-03-14 13:12:00.000,SocSon,"2",0.0000000000,I
15513,28.6000000000,74.6000000000,0.8000000000,139.0000000000,0.0000000000,2025-03-14 13:11:00.000,SocSon,"2",0.0000000000,I
15512,28.5000000000,73.1000000000,1.5000000000,157.0000000000,0.0000000000,2025-03-14 13:10:00.000,SocSon,"2",0.0000000000,I
15511,28.4000000000,73.6000000000,3.7000000000,122.0000000000,0.0000000000,2025-03-14 13:09:00.000,SocSon,"2",0.0000000000,I
15510,28.5000000000,71.9000000000,3.6000000000,122.0000000000,0.0000000000,2025-03-14 13:08:00.000,SocSon,"2",0.0000000000,I
15509,28.7000000000,71.8000000000,3.2000000000,175.0000000000,0.0000000000,2025-03-14 13:07:00.000,SocSon,"2",0.0000000000,I
15508,28.8000000000,73.1000000000,3.9000000000,166.0000000000,0.0000000000,2025-03-14 13:06:00.000,SocSon,"2",0.0000000000,I
15507,28.7000000000,72.6000000000,2.9000000000,137.0000000000,0.0000000000,2025-03-14 13:05:00.000,SocSon,"2",0.0000000000,I
15506,28.8000000000,71.2000000000,2.6000000000,132.0000000000,0.0000000000,2025-03-14 13:04:00.000,SocSon,"2",0.0000000000,I
15505,29.0000000000,70.8000000000,2.4000000000,128.0000000000,0.0000000000,2025-03-14 13:03:00.000,SocSon,"2",0.0000000000,I
15504,29.1000000000,70.5000000000,2.0000000000,93.0000000000,0.0000000000,2025-03-14 13:02:00.000,SocSon,"2",0.0000000000,I
15503,29.2000000000,69.7000000000,2.4000000000,159.0000000000,0.0000000000,2025-03-14 13:01:00.000,SocSon,"2",0.0000000000,I
15502,29.2000000000,70.4000000000,1.9000000000,96.0000000000,0.0000000000,2025-03-14 13:00:00.000,SocSon,"2",0.0000000000,I
15501,29.2000000000,70.3000000000,2.5000000000,118.0000000000,0.0000000000,2025-03-14 12:59:00.000,SocSon,"2",0.0000000000,I
15500,29.1000000000,70.5000000000,1.2000000000,189.0000000000,0.0000000000,2025-03-14 12:58:00.000,SocSon,"2",0.0000000000,I
15499,29.1000000000,73.0000000000,1.6000000000,121.0000000000,0.0000000000,2025-03-14 12:57:00.000,SocSon,"2",0.0000000000,I
15498,29.1000000000,72.4000000000,1.6000000000,213.0000000000,0.0000000000,2025-03-14 12:56:00.000,SocSon,"2",0.0000000000,I
15497,29.0000000000,72.1000000000,1.2000000000,173.0000000000,0.0000000000,2025-03-14 12:55:00.000,SocSon,"2",0.0000000000,I
15496,29.0000000000,71.2000000000,3.3000000000,122.0000000000,0.0000000000,2025-03-14 12:54:00.000,SocSon,"2",0.0000000000,I
15495,28.8000000000,73.2000000000,2.0000000000,139.0000000000,0.0000000000,2025-03-14 12:53:00.000,SocSon,"2",0.0000000000,I
15494,28.7000000000,72.7000000000,1.6000000000,156.0000000000,0.0000000000,2025-03-14 12:52:00.000,SocSon,"2",0.0000000000,I
15493,28.6000000000,72.2000000000,1.0000000000,73.0000000000,0.0000000000,2025-03-14 12:51:00.000,SocSon,"2",0.0000000000,I
15492,28.7000000000,72.0000000000,3.7000000000,121.0000000000,0.0000000000,2025-03-14 12:50:00.000,SocSon,"2",0.0000000000,I
15491,28.6000000000,72.6000000000,1.0000000000,73.0000000000,0.0000000000,2025-03-14 12:49:00.000,SocSon,"2",0.0000000000,I
15490,28.5000000000,73.7000000000,1.6000000000,120.0000000000,0.0000000000,2025-03-14 12:48:00.000,SocSon,"2",0.0000000000,I
15489,28.5000000000,72.8000000000,2.5000000000,152.0000000000,0.0000000000,2025-03-14 12:47:00.000,SocSon,"2",0.0000000000,I
15488,28.5000000000,71.8000000000,2.4000000000,121.0000000000,0.0000000000,2025-03-14 12:46:00.000,SocSon,"2",0.0000000000,I
15487,28.7000000000,72.8000000000,3.7000000000,138.0000000000,0.0000000000,2025-03-14 12:45:00.000,SocSon,"2",0.0000000000,I
15486,28.8000000000,72.1000000000,2.6000000000,121.0000000000,0.0000000000,2025-03-14 12:44:00.000,SocSon,"2",0.0000000000,I
15485,28.9000000000,73.2000000000,3.5000000000,167.0000000000,0.0000000000,2025-03-14 12:43:00.000,SocSon,"2",0.0000000000,I
15484,28.8000000000,73.9000000000,1.4000000000,94.0000000000,0.0000000000,2025-03-14 12:42:00.000,SocSon,"2",0.0000000000,I
15483,28.8000000000,73.6000000000,1.4000000000,99.0000000000,0.0000000000,2025-03-14 12:41:00.000,SocSon,"2",0.0000000000,I
15482,28.9000000000,72.3000000000,3.2000000000,167.0000000000,0.0000000000,2025-03-14 12:40:00.000,SocSon,"2",0.0000000000,I
