"ID","ThoiGian","Anh","MaTram","x1","y1","x2","y2","DoChinhXac","KinhDo","ViDo","Goc","KhoangCach","DiaHinh_Cao","DiaHinh_DoDoc","DiaHinh_HuongDoc","DiaHinh_Xa","DiaHinh_MaXa","DiaHinh_Huyen","DiaHinh_MaHuyen","DiaHinh_Tinh","DiaHinh_MaTinh","DaTiepNhan","Nhan"
1,2025-03-19 14:11:33.000,\media\images\hanoi\SocSon\smoke20250319141133.jpg,SocSon,400.00,300.00,450.00,350.00,0.80,105.8126000000,21.2779800000,258,400.00,80.00,20.00,72.00,QuangTien,"409",SocSon,"16",HaNoi,"1",pending,false
2,2025-03-19 14:11:33.000,\media\images\hanoi\SocSon\smoke20250319141133.jpg,SocSon,400.00,300.00,450.00,350.00,0.80,105.8126000000,21.2779800000,258,400.00,80.00,20.00,72.00,QuangTien,"409",SocSon,"16",HaNoi,"1",pending,false
3,2025-03-19 14:11:33.000,\media\images\hanoi\SocSon\smoke20250319141133.jpg,SocSon,400.00,300.00,450.00,350.00,0.80,105.8126000000,21.2779800000,258,400.00,80.00,20.00,72.00,QuangTien,"409",SocSon,"16",HaNoi,"1",pending,false
44,2025-09-18 17:15:45.000,/media/images/hanoi/SocSon/smoke44.jpg,SocSon,946.42,234.48,1031.57,295.40,0.81,105.8206539262,21.2796040135,60,500.38,69.00,10.36,237.72,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
45,2025-09-18 17:15:58.000,/media/images/hanoi/SocSon/smoke45.jpg,SocSon,241.23,233.31,326.96,290.78,0.85,105.8253590939,21.2765521584,90,1000.76,94.00,14.49,146.56,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
46,2025-09-18 17:18:42.000,/media/images/hanoi/SocSon/smoke46.jpg,SocSon,1049.91,158.14,1279.82,299.21,0.80,105.8188154486,21.2809996601,30,400.30,59.00,4.07,300.96,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
59,2025-09-25 09:08:45.000,/media/images/hanoi/SocSon/smoke59.jpg,SocSon,1021.67,3.29,1279.55,291.93,0.84,105.8124083836,21.2683014336,180,1200.91,51.00,14.76,171.12,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
62,2025-09-26 11:08:59.000,/media/images/hanoi/SocSon/smoke62.jpg,SocSon,617.52,115.87,728.38,215.01,0.86,105.8180055027,21.2804879713,30,300.23,50.00,10.13,318.69,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
63,2025-09-26 11:21:51.000,/media/images/hanoi/SocSon/smoke63.jpg,SocSon,0.03,125.14,104.15,251.06,0.80,105.8205373915,21.2799915403,60,500.38,65.00,19.68,197.20,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
8,2025-08-27 17:00:24.000,/media/images/danang/ESTEC/smoke8.jpg,ESTEC,1167.13,605.30,1276.25,670.73,0.47,105.8174006515,21.2803650026,30,98.51,63.00,13.77,305.54,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
11,2025-08-28 15:47:19.000,/media/images/hanoi/SocSon/smoke11.jpg,SocSon,0.02,248.55,57.01,355.54,0.84,105.8939702946,21.2335393679,120,9511.02,8.00,3.44,241.70,Xuân Giang,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
12,2025-08-28 16:12:49.000,/media/images/hanoi/SocSon/smoke12.jpg,SocSon,729.78,289.36,791.16,354.03,0.82,105.8240583090,21.2785847702,90,840.12,60.00,22.24,211.16,Phù Linh,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
13,2025-08-28 16:46:48.000,/media/images/hanoi/SocSon/smoke13.jpg,SocSon,711.77,162.87,936.94,255.21,0.84,105.8173015544,21.2809254078,30,295.54,74.00,4.02,280.01,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
14,2025-08-28 16:55:26.000,/media/images/hanoi/SocSon/smoke14.jpg,SocSon,25.00,162.70,108.45,243.22,0.88,105.8206314255,21.2812874915,60,570.59,78.00,18.08,184.29,Quang Tiến,"1",Sóc Sơn,"1",Hà Nội,"1",pending,false
