"ID","Tram","ThoiGian","ViDo","KinhDo","KhoangCach","HuongGoc","Goc","DiaHinh_Cao","DiaHinh_DoDoc","DiaHinh_HuongDoc","DiaHinh_Xa","DiaHinh_MaXa","DiaHinh_Huyen","DiaHinh_MaHuyen","DiaHinh_Tinh","DiaHinh_MaTinh","LDLR","SLDLR","Lo","Khoanh","TieuKhu","MGo","MDSD","NhietDo","DoAm","TocDoGio","ChisoP","NguyCo","DoCaoDamChay","TocDoLanTran","DuongKinh","KhoangCachTiepCan","PhuongPhap","ChienLuoc","ChienThuat","KyThuat","NhanLuc","PhuongTien","ChuRung","ImagePath"
22,ESTECGate,"16 giờ 25 phút ngày 27/08/2025","21.28036500260076","105.81740065145527","98.5124789813103",Đông Bắc,"30","63.0","13.765229431152076","305.5376777919744",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"65","17","409","53.6",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke22.jpg
24,ESTECGate,"16 giờ 25 phút ngày 27/08/2025","21.281386594357738","105.82007101702142","380.3949870090939",Đông,"60","66.0","20.27376470148941","187.59464336859142",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"59","17","409","83.0",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke24.jpg
26,ESTECGate,"16 giờ 26 phút ngày 27/08/2025","21.279584786763223","105.82055380399997","373.38282736517067",Đông Nam,"90","61.0","17.4474456903208","201.25050550713323",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"75","17","409","74.6",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke26.jpg
27,ESTECGate,"16 giờ 26 phút ngày 27/08/2025","21.27508025678877","105.82475220946155","951.0026379676925",Nam,"120","88.0","28.27231436487863","197.61257784292383",Phù Linh,"400",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"48","17","400","50.5",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke27.jpg
28,ESTECGate,"16 giờ 26 phút ngày 27/08/2025","21.267881711350867","105.82370688585371","1477.7018951270345",Tây Nam,"150","60.0","14.570367662171947","140.07960786001456",Tiên Dược,"418",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"33","21","418","68.3",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke28.jpg
4,ESTECGate,"16 giờ 36 phút ngày 27/08/2025","21.28036500260076","105.81740065145527","98.5124789813103",Đông Bắc,"30","63.0","13.765229431152076","305.5376777919744",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"65","17","409","53.6",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke4.jpg
5,ESTECGate,"16 giờ 36 phút ngày 27/08/2025","21.281386594357738","105.82007101702142","380.3949870090939",Đông,"60","66.0","20.27376470148941","187.59464336859142",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"59","17","409","83.0",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke5.jpg
6,ESTECGate,"16 giờ 42 phút ngày 27/08/2025","21.267881711350867","105.82370688585371","1477.7018951270345",Tây Nam,"150","60.0","14.570367662171947","140.07960786001456",Tiên Dược,"418",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"33","21","418","68.3",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke6.jpg
9,ESTECGate,"16 giờ 50 phút ngày 27/08/2025","21.277332585711388","105.8130491621774","475.498246970529",Bắc,"240","67.0","21.784160364917028","22.126334809373287",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng gỗ,Thông,"47","19","409","96.9",Phòng hộ môi sinh,,,,,Không xác định,"0.3542689743132942","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke9.jpg
11,ESTECGate,"16 giờ 51 phút ngày 27/08/2025","21.28192542765724","105.81559888002442","295.53734120795764",Đông Nam,"330","63.0","15.521134706811958","238.17255342332686",Quang Tiến,"409",Sóc Sơn,"16",Hà Nội,"1",Rừng trồng khác,Vải,"49","17","409","126.0",Phòng hộ môi sinh,,,,,Không xác định,"0.33867036811169315","0.00472",,"0.0",Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,Không xác định,TTPT Lâm Nghiệp Hà Nội,/media/images/danang/ESTECGate/smoke11.jpg
